azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
0,0.6245243673515589,-29.514545069243294,0.0006565105614981507,0.0005685769904357691,(0.025622387654632487+6.174442393782741e-05j),(0.020722153773713017+0.011797005273134386j),5.6
2,1.054809589010781,-31.993334339376116,0.0006872664854218883,0.000539068813027955,(0.02620908685074462+0.0005918208107304662j),(0.019408569359378514+0.012742693924368914j),5.6
4,1.5945271915620318,-35.220386006866676,0.0007451185614596208,0.0005161461152314918,(0.027283471700874345+0.0008548294608923599j),(0.018140510215238763+0.013677280590903656j),5.6
6,2.2201387170780276,-39.09472725565423,0.0008325891044008817,0.0004993635646869287,(0.028841944963954144+0.0008551696306125054j),(0.01691791586405798+0.01459957833307469j),5.6
8,2.908411147724612,-43.46370503655001,0.0009539144862989835,0.0004882793180300785,(0.030879707090454612+0.0005984783260158527j),(0.015740705825166814+0.01550836864907583j),5.6
10,3.6379590199113103,-48.15298791033844,0.0011149441157393815,0.0004824554290121943,(0.03339065324648359+9.160519895938133e-05j),(0.014608784356656239+0.01640240374557675j),5.6
12,4.390043991633032,-52.99220508128684,0.001323009611943294,0.0004814582137964203,(0.03636725736766338-0.0006574218565180458j),(0.013522044121055222+0.017280409039853662j),5.6
14,5.14897023841997,-57.83229228063365,0.0015867632233195431,0.0004848585991154666,(0.03980044542879986-0.0016394410598333242j),(0.0124803687791138+0.018141085806885657j),5.6
16,5.902217999266933,-62.55418721217766,0.0019159848144987381,0.0004922324748739792,(0.043679460571521576-0.0028442114337071285j),(0.011483634508989461+0.01898311389993553j),5.6
18,6.640349352449839,-67.07061589810321,0.0023213571673503606,0.0005031610694458944,(0.04799172319705211-0.004260477899002714j),(0.01053171044428058+0.01980515449482093j),5.6
20,7.356716383219491,-71.32342632826791,0.0028142099203184593,0.0005172313633409732,(0.05272268959159558-0.005876046506514293j),(0.009624458024792403+0.020605852835298574j),5.6
22,8.047033934949523,-75.27871366297255,0.003406233212431019,0.0005340365550652367,(0.0578557130901806-0.007677869187328192j),(0.008761729260065177+0.021383840988899876j),5.6
24,8.708895751025453,-78.92135604461903,0.00410916300329847,0.0005531765917558947,(0.0633719121813252-0.00965213705771302j),(0.007943363918663352+0.02213774065733836j),5.6
26,9.341303281793964,-82.24991798762454,0.004934441100230511,0.0005742587763713998,(0.06925005028795997-0.011784380991190307j),(0.007169185676911723+0.022866166121616533j),5.6
28,9.944252298009806,-85.27236295724074,0.005892854120245782,0.0005968984626071635,(0.07546643220614452-0.014059577885597321j),(0.006438997289865148+0.023567727436226697j),5.6
30,10.518397392541658,-88.00268694677841,0.006994156918507958,0.0006207198479988853,(0.0819948223190896-0.01646226082191888j),(0.005752574884816751+0.024241034016589738j),5.6
32,11.064795909012432,-90.45840817055243,0.008246687382598742,0.0006453568745111322,(0.08880638970778862-0.01897663114641579j),(0.00510966152265574+0.024884698785298233j),5.6
34,11.584722267697973,-92.65877377572214,0.009656980867015073,0.0006704542439458363,(0.09586968513207633-0.02158667041698683j),(0.004509960222875933+0.025497343052442015j),5.6
36,12.079539427091074,-94.62352906044964,0.011229393853574406,0.0006956685524283829,(0.10315065454248376-0.024276250143536984j),(0.003953126700726332+0.02607760229998892j),5.6
38,12.550613939275728,-96.37210803189936,0.012965747588236353,0.0007206695438336988,(0.11061269329559033-0.02702923732057607j),(0.003438762115431357+0.02662413301775614j),5.6
40,12.999262741768282,-97.92312834877468,0.014865003371595666,0.0007451414762338555,(0.11821674458244341-0.029829593894738216j),(0.002966406171497106+0.027135620697886373j),5.6
42,13.426722181131671,-99.29409935615814,0.01692298177376899,0.0007687845884339807,(0.12592144474912415-0.03266146852274499j),(0.002535530945093456+0.02761078903726683j),5.6
44,13.834132081541258,-100.50127479164404,0.019132138211780267,0.0007913166457465005,(0.13368331720589416-0.035509279246537157j),(0.0021455358194738886+0.028048410325611235j),5.6
46,14.22252964871065,-101.55960041333215,0.021481406986758208,0.0008124745358949239,(0.1414570155123845-0.03835778602953023j),(0.0017957439031304062+0.028447316916174956j),5.6
48,14.59284955522332,-102.48272125514164,0.02395612496514203,0.0008320158780209849,(0.14919561502201478-0.04119215244855248j),(0.0014854002698116778+0.02880641359245243j),5.6
50,14.945927714752592,-103.28302401415824,0.02653804456510938,0.0008497206009577972,(0.15685095120809106-0.04399799620694583j),(0.0012136723006378122+0.02912469056495642j),5.6
52,15.282507087730409,-103.9716979377017,0.02920544357165964,0.000865392441975078,(0.16437400151797757-0.04676142851354681j),(0.0009796523280331676+0.02940123676465426j),5.6
54,15.603244444047684,-104.55880318879125,0.03193333658426047,0.0008788603146966115,(0.1717153063541298-0.04946908274839769j),(0.0007823626840114742+0.02963525304982696j),5.6
56,15.908717404931531,-105.05333960427457,0.03469378967267783,0.0008899794952568999,(0.1788254236040403-0.05210813319927495j),(0.0006207631483557616+0.029826064915951342j),5.6
58,16.199431349083472,-105.46331147391379,0.03745633619168775,0.0008986325791174063,(0.18565541007488273-0.054666304993248725j),(0.0004937606836224323+0.02997313429564407j),5.6
60,16.475825937453166,-105.7957858058476,0.04018848783139676,0.0009047301671592647,(0.1921573222678498-0.05713187665608829j),(0.00040022124182257507+0.030076070057719624j),5.6
62,16.738281116046338,-106.05694275792548,0.04285633103270465,0.0009082112482668211,(0.19828472818100806-0.059493676999227335j),(0.0003389833395754313+0.030134636857979746j),5.6
64,16.987122517825274,-106.2521176899936,0.04542519507170548,0.0009090432559811796,(0.2039932212801377-0.06174107824988376j),(0.0003088730305663215+0.030148762054720727j),5.6
66,17.222626217678854,-106.38583476310778,0.04786037461460274,0.0009072217881712223,(0.20924092743999534-0.06386398749415303j),(0.0003087198595504506+0.03011854047293032j),5.6
68,17.445022808680267,-106.46183227368036,0.05012788656334524,0.0009027699902398131,(0.21398899554312684-0.06585283858565918j),(0.00033737336214648833+0.03004423687588565j),5.6
70,17.654500769861613,-106.48308003314699,0.052195238730431984,0.0008957376134498546,(0.21820206253124821-0.06769858667314425j),(0.0003937196778397156+0.02992628607537421j),5.6
72,17.85120908978872,-106.45178913877915,0.05403218644968176,0.0008861997699197197,(0.22184868403410518-0.06939270741236085j),(0.00047669786601040737+0.029765290676629735j),5.6
74,18.03525909839339,-106.36941446571058,0.05561145275702816,0.0008742554143320584,(0.22490172224298532-0.07092720274455513j),(0.0005853155519238915+0.029562016508295475j),5.6
76,18.206725442830017,-106.23665017464208,0.056909388323820684,0.0008600255892253236,(0.22733868343989153-0.07229461484534982j),(0.0007186635751473477+0.02931738582976115j),5.6
78,18.365646121376503,-106.05341849641555,0.0579065489024012,0.0008436514758950133,(0.22914199852136788-0.07348804947768477j),(0.0008759293618561467+0.029032468438767854j),5.6
80,18.512021461776932,-105.81885204444184,0.058588170602668875,0.0008252922965476105,(0.230299240947976-0.07450120953014773j),(0.0010564087899774047+0.02870847082336621j),5.6
82,18.645811895639024,-105.53126993758191,0.05894452675785893,0.0008051231156252816,(0.23080327778262863-0.07532843900316599j),(0.0012595163589900205+0.02834672351730828j),5.6
