,azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
0,0,1.2653099119413844,-5.849730481806579,10.238420818742977,7.650714304936055,(3.1980047520498136+0.1057658953055669j),(2.740766957158442+0.3727073805071603j),5.6
1,2,1.4120185640420306,-6.442253462249254,9.719437199953813,7.021651353372165,(3.1115214333130816+0.19460619205749294j),(2.6094133477254284+0.4611001345527217j),5.6
2,4,1.6440321892936502,-7.516723776538017,9.428281876515921,6.456978482998521,(3.0590919992172863+0.2650245589388008j),(2.4811303361146844+0.5486080004975822j),5.6
3,6,1.958222280269995,-9.133959234344008,9.345783401576403,5.953789605806989,(3.040594133325619+0.317128866491572j),(2.3559206538254815+0.6351594120262298j),5.6
4,8,2.348619434711098,-11.327172897255307,9.461229622820012,5.509163220033328,(3.055809820703745+0.35107828544437314j),(2.233783056908161+0.7206777884071078j),5.6
5,10,2.807076669121948,-14.098434199586922,9.772190799241397,5.1201687064140735,(3.1044228137095176+0.3670828148541929j),(2.114713367533693+0.8050814117767106j),5.6
6,12,3.323916505885871,-17.419119070299477,10.284213514023458,4.783870712362382,(3.1860153919842586+0.36540311446790785j),(1.9987054197123053+0.8882833768426829j),5.6
7,14,3.8884753898831184,-21.23374244725759,11.010384608457766,4.497332017951469,(3.3000645226904943+0.34635062369992176j),(1.8857519053630285+0.9701916147705953j),5.6
8,16,4.489554611192209,-25.466106186599912,11.970764200026894,4.257615272218542,(3.4459375493874966+0.31028794006243426j),(1.7758451185908666+1.0507089925357704j),5.6
9,18,5.115835221631428,-30.026582468524403,13.191687179168698,4.061783976172671,(3.6228875584026117+0.25762942056422833j),(1.6689775975655319+1.1297334884817105j),5.6
10,20,5.756304277891636,-34.81946993816872,14.704933485417007,3.9069030707149994,(3.8300485896814687+0.1888419606337517j),(1.5651426648126312+1.2071584442392869j),5.6
11,22,6.400694719610077,-39.749604542340265,16.546769002707805,3.790039464069761,(4.066430874535321+0.1044458966820111j),(1.4643348680070432+1.2828728925378994j),5.6
12,24,7.039896576255336,-44.72770477226156,18.75686111447574,3.708262804961803,(4.330916295025091+0.005015970681855886j),(1.3665503245166282+1.3567619597870886j),5.6
13,26,7.6662781508473,-49.67422002758831,21.3770758175778,3.658646775194251,(4.622254268556562-0.10881771174051291j),(1.2717869739780898+1.4287073416252554j),5.6
14,28,8.273867643300466,-54.52168412680197,24.450166768927268,3.638271139073948,(4.939058266248974-0.23636880404350014j),(1.1800447441148432+1.4985878489300795j),5.6
15,30,8.858377231103987,-59.21573316192315,28.018370649551652,3.6442247477975127,(5.279803174490427-0.3768940012688764j),(1.091325635836069+1.5662800210577008j),5.6
16,32,9.417085918617081,-63.71503358727255,32.12192765562192,3.6736096549481285,(5.642823705498481-0.5295925644175017j),(1.0056337343895683+1.631658802325357j),5.6
17,34,9.948621347092052,-67.9904004765499,36.79755060348009,3.7235464551875355,(6.026314054533968-0.6936061703924341j),(0.9229751539985656+1.6945982769638532j),5.6
18,36,10.452689259756642,-72.0233837624744,42.07687086579282,3.7911809125595326,(6.428328988510955-0.8680191710224767j),(0.8433579239681226+1.7549724569461798j),5.6
19,38,10.929794636382294,-75.8045729261073,47.98489390634598,3.8736918982528734,(6.8467865330941855-1.0518593425863019j),(0.7667918247203618+1.8126561162545123j),5.6
20,40,11.380986356169258,-79.33182607840732,54.53850129552876,3.968300610767127,(7.279472403148866-1.2440992031678364j),(0.6932881825809596+1.8675256642575802j),5.6
21,42,11.80764334173957,-82.60857582448043,61.74503949373674,4.072281005140148,(7.724046294676406-1.4436579689914233j),(0.6228596323849698+1.9194600499842158j),5.6
22,44,12.211308310715452,-85.64231016180499,69.60103811377786,4.18297131298461,(8.17805012562192-1.6494042126153106j),(0.5555198570822708+1.9683416881659295j),5.6
23,46,12.593567124023124,-88.4432790019076,78.0911015527532,4.297786492740797,(8.638918278492433-1.8601592755144805j),(0.49128331349311605+2.014057397053029j),5.6
24,48,12.955967251967477,-91.02343993799992,87.18701758712905,4.41423141065606,(9.10398986025383-2.0747014752789146j),(0.4301649531478531+2.0564993371599627j),5.6
25,50,13.29996724030267,-93.39563172859303,96.84712456188818,4.529914518939487,(9.570522955068913-2.2917711335094433j),(0.37217994677787036+2.0955659393481056j),5.6
26,52,13.626909220729342,-95.57294942847295,107.01597504980111,4.642561769247231,(10.035710803997734-2.5100764347573676j),(0.31734342045249697+2.1311628100036706j),5.6
27,54,13.938007599460464,-97.56828877952758,117.62432825448623,4.750030478375338,(10.496699803529602-2.728300109787753j),(0.26567021059870033+2.1632036005831217j),5.6
28,56,14.234348468913394,-99.39402674534448,128.58949601777067,4.850322849682441,(10.95060917287985-2.9451069183665286j),(0.21717464420596944+2.191610828499543j),5.6
29,58,14.516895667905512,-101.06180765122602,139.81605819266062,4.941598849231916,(11.39455209916439-3.1591518881005056j),(0.17187034941023427+2.21631663627414j),5.6
30,60,14.786500597888326,-102.5824085631292,151.19695258612865,5.022188140343522,(11.825658131026426-3.36908924699498j),(0.12977010039900794+2.237263476076511j),5.6
31,62,15.043913835231058,-103.96566216921948,162.61493297955045,5.090600794655675,(12.241096555937862-3.573581968803388j),(0.0908856992183944+2.254404707308175j),5.6
32,64,15.289797273429846,-105.22041984811561,173.94437630770065,5.145536521605055,(12.638100465264873-3.7713118324493484j),(0.055227895646578595+2.267705095718468j),5.6
33,66,15.524736021630883,-106.35454148563728,185.0534073970229,5.185892191048776,(13.013991185088845-3.960989880251244j),(0.02280634485531241+2.2771412037208223j),5.6
